infopagesfile version 1
28
ip_overview _Overview Overview
ip_dplmc_autoloot Diplomacy_Feature:_Autoloot Autoloot_settings_are_managed_through_the_camp_menu._It_allows_you_to_have_your_companions_(named_heroes,_not_ordinary_soldiers)_automatically_select_equipment_from_the_loot_after_a_battle.^^_In_order_for_this_feature_to_be_enabled,_one_of_the_following_must_be_true:_someone_in_your_party_must_have_a_Looting_score_of_2_or_better,_someone_in_your_party_must_have_an_Inventory_Management_score_of_3_or_better,_or_the_player_{him/her}self_must_have_an_Inventory_Management_score_of_2_or_better.^^_The_desired_primary_damage_types_(the_higher_of_any_swing/thrust_damage)_for_melee_and_throwing_weapons_can_be_set_up_here._In_addition,_players_can_fine-tune_weapon_selection_for_two-handed/one-handed_weapons,_pikes,_lances,_and_bladed_polearms.^^This_setting_is_currently:
ip_dplmc_autosell Diplomacy_Feature:_Autosell The_Autosell_feature_allows_you__to_sell_many_items_to_a_merchant_all_at_once,_instead_of_selling_them_one_at_a_time._Autosell_settings_are_managed_through_the_Town_menu,_where_you_can_specify_which_types_of_items_you_want_to_be_able_to_sell_(e.g._you_might_not_want_to_automatically_sell_horses)_and_a_price_limit_(for_example,_you_might_not_want_to_automatically_sell_any_items_that_cost_more_than_200_denars).^^_There_are_two_primary_ways_to_use_autosell.__If_you_speak_to_a_Horse_Merchant,_Armorer,_or_Weapon_Merchant_in_a_town,_there_is_a_conversation_option_to_sell_items_of_a_particular_type.__Also,_when_visiting_a_town_there_will_be_an_option_in_the_Marketplace_section_of_the_menu_to_automatically_sell_your_items_throughout_the_town.^^_For_people_who_used_Autosell_in_other_mods,_note_that_this_sells_from_your_own_inventory,_according_to_certain_rules.__Items_you_have_equipped_will_never_be_sold,_and_neither_will_the_first_three_items_in_your_inventory.__After_that,_autosell_also_skips_anything_that_it_thinks_might_be_your_personal_equipment_(since_people_often_have_more_than_one_set).__Regardless_of_whether_you_have_them_equipped,_it_won't_sell_your_best_bow,_crossbow,_armor,_helmet,_boots,_or_gloves._If_you_have_a_bow_you_can_use,_it_won't_sell_your_best_three_packs_of_arrows,_and_if_you_have_a_crossbow_it_won't_sell_your_best_three_packs_of_bolts._For_shields,_one-handed_weapons,_two-handed_weapons,_polearms,_and_horses,_it_won't_sell_your_best_or_second-best_item._Your_best_three_throwing_weapons_also_will_not_be_sold._However,_items_that_your_character_is_unable_to_use_are_considered_fair_game.
ip_dplmc_deathcamera Diplomacy_Feature:_Battle_Continuation Post-battle_continuation_allow_you_to_watch_the_battle_unfold_after_being_knocked_unconscious._Camera_key_bindings_are_available_from_the_Diplomacy_preference_menus._In_general_numpad_keys_are_used_to_rotate_while_movement_keys_are_used_to_pan_the_camera._There_are_three_camera_modes_available.
ip_dplmc_disguise Diplomacy_Feature:_Player_Disguise The_player_disguise_system_allows_the_player_to_take_on_the_role_of_various_commoners_while_attempting_to_sneak_into_a_town._In_addition_to_the_original_pilgrim_robes,_players_are_able_to_acquire_new_sets_of_equipment_from_merchants_and_their_chamberlains.^In_Native,_the_chance_to_be_caught_depends_on_the_number_of_men_in_the_party._The_new_system_calculates_the_chance_to_be_caught_based_on_the_player's_chosen_role_instead,_but_limits_what_the_player_can_bring_in_and_out_of_towns_in_terms_of_gold_and_items._The_player's_inventory_will_be_merged_after_leaving_the_town.
ip_hoty_keys HOT_KEYS Here_is_a_list_of_all_keys_and_where_they_are_used:^^^CONTROL_-_KEY:_^^*)_By_pressing_control_while_clicking_on_'trade_with_the_goods_merchant'_or_'Buy_supplies_from_the_peasants.'_player_can_automatically_buy_all_food_items._If_player_has_a_follower_party,_food_will_be_added_to_the_follower_party.^*)_Player_can_modify_time-flow_by_keeping_control_pressed_an_clicking_one_of_the_numpad-keys:^____-)_0_Key:_sets_time-flow_to_lowest,_almost_pausing_game.^____-)_1_key:_sets_time-flow_to_25%^____-)_2_key:_sets_time-flow_to_50%^____-)_3_key:_sets_time-flow_to_75%^____-)_4_key:_sets_time-flow_to_100%_(normal)^____-)_5_key:_sets_time-flow_to_125%^____-)_6_key:_sets_time-flow_to_150%^____-)_7_key:_sets_time-flow_to_175%^____-)_8_key:_sets_time-flow_to_200%^____-)_9_key:_sets_time-flow_to_225%^^SHIFT_-_KEY:_^^*)_By_pressing_Shift_while_clicking_on_'Visit_the_Great_Hall/Praetorium/Atrium,_etc.,'_a_selection_menu_will_pop_up,_allowing_the_player_to_talk_with_lords_or_ladies_instantaneously.^*)_Player_can_right_away_start_a_conversation_with_any_town_merchant_by_pressing_'shift'_while_clicking_on_'trade_with_the_XY'._^*)_By_pressing_'shift'_while_clicking_on_'visit_the_Domus_Augusti'_player_will_spawn_next_to_advisors._^*)_After_the_player_has_visited_a_Roman_temple_for_the_first_time_he_can_spawn_right_next_to_the_priest_by_pressing_shift_while_clicking_on_'visit_the_temple_of_XY'._^*)_The_administrator_of_the_latifundium_can_be_quickly_accessed_by_pressing_'shift'_while_clicking_on_'visit_the_villa'.^^ENTER_-_KEY:_^^*)_During_battle_player_can_open_strategic_view,_which_allows_player_an_overview_over_the_battlefield._This_camera_follows_the_player._While_activated,_one_may_increase_distance_with_the_F_key_and_reduce_it_with_the_V_key._+/-_for_zoom,_numpad_for_game_speed_(when_cheats_are_enabled),_and_mouse_wheel_for_camera_speed.^^H_-_KEY:_^^*)_Allows_you_to_call_your_horse_during_battle_(if_it_is_still_alive)_^^K_-_KEY:_^^*)_During_battle_pressing_K_will_start_a_shield_taunt._^*)_While_on_worldmap,_pressing_K_during_freelancing_allows_player_to_access_the_daily_missions_menu.^^T_-_KEY:_^^*)_By_pressing_T_player_will_perform_a_warcry_during_battles._^*)_While_entering_the_lords_hall_player_will_make_a_handkiss_by_pressing_T.^^J_-_KEY:_^^*)_Player_can_change_the_movement_speed_of_troops_during_battles_by_pressing_J^^G_-_KEY:_^^*)_Player's_horse_will_start_to_sprint_during_horse_races_by_pressing_J^^Z_-_KEY:_^^*)_Pressing_Z_allows_player_to_crouch_(For_German_keyboards_it_is_the_Y_key)._Though_it_can_be_changed_under_game_options_->_controls.^^^The_keys_for_the_death-camera_can_be_changed_under_the_Diplomacy_preference_menu.
ip_companions Companions Companions_do_no_longer_spawn_randomly_in_taverns._They_all_have_fixed_locations_or_quests_which_enable_them._Here_is_a_complete_list_of_all_companions:^^^*)__Pravare_Ytarim_______________Location:_Chersonesos,_location_in_town:_stables.^*)__Marius_Gaius_________________Location:_Antiocha,_location_in_town:_market.^*)__Pulchra______________________Location:_Nicomedia,_location_in_town:_tavern.^*)__Abadutiker___________________Location:_Truso,_location_in_town:_Castle_Courtyard_(next_to_gate).^*)__Satibarzanes_________________Location:_Ectabana,_location_in_town:_stable.^*)__Firentrix____________________Location:_Corduba,_location_in_town:_tavern.^*)__Lavia________________________Location:_Alexadria,_location_in_town:_streets.^*)__Hildr________________________Location:_Uburzis,_location_in_town:_tavern.^*)__Aturius_Spurus_______________Location:_Lugdunum,_location_in_town:_tavern.^*)__Attaklos_____________________Location:_Athenai,_location_in_town:_tavern.^*)__Dionysia_____________________Location:_Thessalonica,_location_in_town:_marketplace.^*)__Jeremus______________________Location:_Lutetia,_location_in_town:_tavern.^*)__Chanakya_____________________Location:_Ctesiphon,_location_in_town:_center.^*)__Titus________________________Location:_Mediolanum,_location_in_town:_tavern.^*)__Artimenus____________________Location:_Vindobona,_location_in_town:_castle_hall.^*)__Titocuna_____________________Location:_Deva,_location_in_town:_tavern.^*)__Anicetus_____________________Location:_Phasis,_location_in_town:_tavern.^*)__Arminius_____________________Location:_Palmyra,_location_in_town:_center.^*)__Tertius_Maior________________Location:_Palmyra,_location_in_town:_tavern.^*)__Secundus_Minor_______________Location:_Dura_Europos,_location_in_town:_center.^*)__Drusus_______________________Location:_Dyrrachium,_location_in_town:_tavern.^*)__Libertus_Tiro________________Location:_Tarraco,_location_in_town:_tavern.^*)__Marcus_Tullius_______________Location:_Augusta_Emerita,_location_in_town:_center.^*)__Sidonius_Apollinaris_________Location:_Hierosolyma,_location_in_town:_tavern.^*)__Sollius_Modestus_____________Location:_Thebae,_location_in_town:_center.^*)__Albinus_Basilius_____________Location:_Mtskheta,_location_in_town:_tavern.^*)__Lucullus_Caepio______________Location:_Carthago,_location_in_town:_center.^*)__Anicius______________________Location:_Massilia,_location_in_town:_tavern.^*)__Fabianus_____________________Location:_Augusta,_location_in_town:_tavern.^*)__Rombus_______________________Location:_Ancyra,_location_in_town:_tavern.^*)__Gaius_Lemonius_______________Location:_Neapolis,_location_in_town:_center.^*)__Lucius_Modius_minor__________Location:_Tarentum,_location_in_town:_center.^*)__Ra_Karak_____________________Location:_None,_joins_when_doing_the_'blossom_in_the_desert'_quest.^*)__Ligia_(and_Ursus)____________Location:_Rome,_location_in_town:_side_street_(where_Olivarius_is).^*)__Marcus_Vinicius______________Location:_Rome,_location_in_town:_tavern.^*)__Josephus_____________________Location:_Masada,_location_in_town:_center.^*)__Elazar_Bar_Yochai____________Location:_Leptis_Magna,_location_in_town:_center.
ip_provinces Provinces Every_town,_fortress_and_village_is_part_of_a_province._The_respective_province_can_be_seen_under_the_center_notes._But_it_is_also_possible_to_display_the_province_name_in_the_center_name._The_option_is_only_available_at_game_start.^_One_can_choose_between_three_different_naming_schemes_for_the_centers:_^^Normal:_The_normal_name_is_displayed,_like_in_native._^^Accurate:_The_accurate_province_name_which_is_also_displayed_in_the_center_notes,_will_also_be_displayed_in_the_center_name._^^Simple:_A_simplified_province_name_will_be_displayed_in_the_center_name.^^^_Note,_that_the_simplified_province_names_are_more_general_than_the_accurate_ones._Here_is_a_list_of_the_abbreviations_used:^^_HS_-_Hispania^_GL_-_Gallia^_BR_-_Britannia^_MG_-_Magna_Germania^_IT_-_Italia^_IL_-_Illyria^_GR_-_Graecia_^_DA_-_Dacia^_TH_-_Thracia^_AN_-_Anatolia^_AR_-_Armenia^_MS_-_Mesopotamia^_SY_-_Syria^_JD_-_Judea^_EG_-_Aegyptus^_AF_-_Africa^_SM_-_Sarmatia^_CA_-_Caucasus^_RN_-_Reatia_et_Noricum^_CY_-_Cyprus^_CS_-_Corsica_et_Sardinia_PR_-_Persia_and_Media
ip_provinces_abbreviations Settlement_naming_settings At_the_start_of_the_game,_player_can_choose_between_three_different_naming_schemes_for_the_centers:_^^Normal:_The_normal_name_is_displayed,_like_in_native._^^Accurate:_The_accurate_province_name_which_is_also_displayed_in_the_center_notes,_will_also_be_displayed_in_the_center_name._^^Simple:_A_simplified_province_name_will_be_displayed_in_the_center_name.^^^_Note,_that_the_simplified_province_names_are_more_general_than_the_accurate_ones._Here_is_a_list_of_all_abbreviations_used:^^_HS_-_Hispania^_GL_-_Gallia^_BR_-_Britannia^_MG_-_Magna_Germania^_IT_-_Italia^_IL_-_Illyria^_GR_-_Graecia_^_DA_-_Dacia^_TH_-_Thracia^_AN_-_Anatolia^_AR_-_Armenia^_MS_-_Mesopotamia^_SY_-_Syria^_JD_-_Judea^_EG_-_Aegyptus^_AF_-_Africa^_SM_-_Sarmatia^_CA_-_Caucasus^_RN_-_Reatia_et_Noricum^_CY_-_Cyprus^_CS_-_Corsica_et_Sardinia_PR_-_Persia_and_Media
