5444
qstr_Recieved_damage_from Recieved_damage_from_fire!
qstr_{s1}_has_thrown_his_ {s1}_has_thrown_his_spear_{reg19}_units_far.
qstr_You_rescued_Mathildi You_rescued_Mathildiz!
qstr_With_a_Xylospongium_ With_a_Xylospongium_equipped_you_can_clean_the_toilet._But_be_aware,_that_cleaning_the_toilet_has_a_significant_negative_impact_on_your_health!
qstr_You_begrudgingly_wie You_begrudgingly_wield_the_Xylospongium,_scrubbing_a_neglected_toilet._Amidst_the_grime,_a_glint_catches_your_eye._Astonished,_you_discover_50_denars_concealed_in_the_filth_-_an_unexpected_reward_for_your_unsavory_task._In_the_echoes_of_history,_the_humble_toilet_becomes_an_unlikely_treasure_trove,_a_testament_to_the_unpredictability_of_your_journey_through_the_ancient_Roman_world._^Despite_your_efforts,_the_toilet_is_still_dirty....
qstr_Armed_with_a_Xylospo Armed_with_a_Xylospongium,_you_tackle_the_task_of_toilet_cleaning._Crafted_from_a_stick_and_sponge,_you_diligently_scrub_away_the_remnants_of_digested_food._The_soft,_water-soaked_sponge_brings_a_touch_of_comfort_to_this_unglamorous_chore,_connecting_you_to_the_everyday_lives_of_Romans._^Despite_your_efforts,_the_toilet_is_still_dirty....
qstr_You_are_running_the_ You_are_running_the_mod_with_vanilla_warband.^Consider_using_WSE2.
qstr_New_Game New_Game
qstr_Load_Save Load_Save
qstr_Quick_Battle Quick_Battle
qstr_Options Options
qstr_Credits Credits
qstr_Exit Exit
qstr_Next_Page Next_Page
qstr_Error:_Wrong_variabl Error:_Wrong_variable_g_presentation_state
qstr_Imperium_Romanum_Par Imperium_Romanum_Pars_{s1}
qstr_Imperium_Romanum Imperium_Romanum
qstr_Kingdom_of_{s7} Kingdom_of_{s7}
qstr_Continue... Continue...
qstr_Red: Red:
qstr_Green: Green:
qstr_Blue: Blue:
qstr_Choose_a_banner_for_ Choose_a_banner_for_{s0}.
qstr_Test Test
qstr_Number_of_men_knocke Number_of_men_knocked_down:_{reg1}
qstr_Number_of_men_left:_ Number_of_men_left:_{reg1}
qstr_Opponents_Beaten:_{r Opponents_Beaten:_{reg1}
qstr_Opponents_Remaining: Opponents_Remaining:_{reg1}
qstr_Push_a_knife_into_yo Push_a_knife_into_your_chest.
qstr_Wait_maybe_this_is_a Wait,_maybe_this_is_a_bad_idea.
qstr_With_a_knife_in_your With_a_knife_in_your_hand,_you_are_ready_to_commit_suicide_at_an_age_of_{reg50},_at_level_{reg4}_after_{reg5}_days.
qstr_Effect_on_Score Effect_on_Score
qstr_Settlements_owned_by Settlements_owned_by_you:_{reg0}
qstr_{!}{reg0?+:}{reg0} {!}{reg0?+:}{reg0}
qstr_Friendly_Settlements Friendly_Settlements:_{reg0}
qstr_Hostile_Settlements: Hostile_Settlements:_{reg0}
qstr_Friendly_Lords:_{reg Friendly_Lords:_{reg0}
qstr_Enemy_Lords:_{reg0} Enemy_Lords:_{reg0}
qstr_Victories:_{reg0} Victories:_{reg0}
qstr_Defeats:_{reg0} Defeats:_{reg0}
qstr_Quests_Completed:_{r Quests_Completed:_{reg0}
qstr_Companions_Found:_{r Companions_Found:_{reg0}
qstr_Companions_Lost/Depa Companions_Lost/Departed:_{reg0}
qstr_Wealth:_{reg0}_denar Wealth:_{reg0}_denars
qstr_Inventory:_{reg0}_de Inventory:_{reg0}_denars
qstr_Renown:_{reg0} Renown:_{reg0}
qstr_Experience:_{reg0} Experience:_{reg0}
qstr_Days_Passed:_{reg0} Days_Passed:_{reg0}
qstr_Difficulty:_{reg0}% Difficulty:_{reg0}%
