troop_id,name_singular,name_plural
player,Player,Player
multiplayer_profile_troop_male,multiplayer_profile_troop_male,multiplayer_profile_troop_male
multiplayer_profile_troop_female,multiplayer_profile_troop_female,multiplayer_profile_troop_female
temp_troop,Temp Troop,Temp Troop
game,Game,Game
unarmed_troop,Unarmed Troop,Unarmed Troops
find_item_cheat,find_item_cheat,find_item_cheat
random_town_sequence,Random Town Sequence,Random Town Sequence
tournament_participants,Tournament Participants,Tournament Participants
tutorial_maceman,Maceman,Maceman
tutorial_archer,Archer,Archer
tutorial_swordsman,Swordsman,Swordsman
novice_fighter,Novice Fighter,Novice Fighters
regular_fighter,Regular Fighter,Regular Fighters
veteran_fighter,Veteran Fighter,Veteran Fighters
champion_fighter,Champion Fighter,Champion Fighters
arena_training_fighter_1,Novice Fighter,Novice Fighters
arena_training_fighter_2,Novice Fighter,Novice Fighters
arena_training_fighter_3,Regular Fighter,Regular Fighters
arena_training_fighter_4,Regular Fighter,Regular Fighters
arena_training_fighter_5,Regular Fighter,Regular Fighters
arena_training_fighter_6,Veteran Fighter,Veteran Fighters
arena_training_fighter_7,Veteran Fighter,Veteran Fighters
arena_training_fighter_8,Veteran Fighter,Veteran Fighters
arena_training_fighter_9,Champion Fighter,Champion Fighters
arena_training_fighter_10,Champion Fighter,Champion Fighters
cattle,Cattle,Cattle
farmer,Rusticus,Rustici
sarmatian_peasant,Sarmata Tribulis,Sarmatae Tribules
bosporan_peasant,Bosporanus Rusticus,Bosporani Rustici
judean_peasant,Iudaeus Rusticus,Iudaei Rustici
parthian_peasant,Parthus Tribulis,Parthi Tribules
persian_peasant,Persa Rusticus,Persae Rustici
roman_peasant,Romanus Rusticus,Romani Rustici
celtic_peasant,Celticus Tribulis,Celtici Tribules
germanic_peasant,Germanus Tribulis,Germani Tribules
dacian_peasant,Dacus Rusticus,Daci Rustici
thracian_peasant,Thracicus Rusticus,Thracici Rustici
arab_peasant,Arabs Tribulis,Arabes Tribules
syrian_peasant,Syrus Tribulis,Syri Tribules
eastern_peasant,Orientalis Tribulis,Orientales Tribules
berber_peasant,Maurus Tribulis,Mauri Tribules
